,country,2017,2018,2019,2020,2021,2022,2023,continent
87,Jamaica,2135546,2612205,2733896,2827695,2827377,2804356,2493823,Americas
88,Japan,117624196,126803861,128105431,124612530,123951692,118514802,103784357,Asia
89,Jordan,2216903,5056174,6931258,11148278,11285869,11933395,15005941,Asia
90,Kazakhstan,14172710,15236253,16627837,19196465,19397998,21128221,25609978,Asia
91,Kenya,16187124,30851606,41517895,53005614,54027487,63103942,85211739,Africa
92,Kiribati,60813,88826,107995,128874,131232,148720,188570,Oceania
93,Kuwait,1493870,1934901,2943356,4250114,4268873,4564570,5155414,Asia
94,Kyrgyzstan,3691209,4935182,5483774,6527743,6630623,7435378,9426858,Asia
95,Laos,3297519,5430853,6323418,7425057,7529475,8321287,9775552,Asia
96,Latvia,2572037,2392530,2101530,1873919,1850651,1701338,1433728,Europe
97,Lebanon,2963702,4320642,4995800,5592631,5489739,4714240,4937579,Asia
98,Lesotho,1407672,1998630,2022747,2281454,2305825,2501946,2898369,Africa
99,Liberia,1932169,2895224,4019956,5193416,5302681,6282074,8890700,Africa
100,Libya,2962720,5154790,6491988,6735277,6812341,7394813,8539976,Africa
101,Liechtenstein,25003,33026,35926,39039,39327,41030,42287,Europe
102,Lithuania,3521206,3599637,3139019,2786651,2750055,2558928,2187550,Europe
103,Luxembourg,363741,435628,507070,639321,647599,697086,781910,Europe
104,Madagascar,8948162,16216431,21731053,28915653,29611714,35604443,51592965,Africa
105,Malawi,6267369,11229387,14718422,19889742,20405317,24944243,37159300,Africa
106,Malaysia,13215707,22945150,28717731,33573874,33938221,36687569,41032433,Asia
107,Maldives,164887,282507,361575,521457,523787,512683,569909,Asia
108,Mali,7372581,11239101,15529181,21904983,22593590,28712294,47439802,Africa
109,Malta,333587,399212,418755,526748,533286,543425,522737,Europe
110,Marshall Islands,31988,54224,53416,42050,41569,44733,51211,Oceania
111,Martinique,333786,432543,392181,368796,367507,362472,330121,Americas
112,Mauritania,1506694,2695003,3419461,4614974,4736139,5830563,8914673,Africa
113,Mauritius,954865,1215930,1283330,1298915,1299469,1305425,1226235,Africa
114,Mayotte,52233,159215,211786,316014,326101,407579,664141,Africa
115,Mexico,67705186,97873442,112532401,126705138,127504125,134534107,143772364,Americas
116,Micronesia,76299,111709,107588,113131,114164,122704,135457,Oceania
117,Moldova,4103240,4251573,3678186,3061506,3272996,3174727,2997532,Europe
118,Monaco,27076,32465,33178,36686,36469,35862,37664,Europe
119,Mongolia,1697780,2450979,2702520,3347782,3398366,3736327,4518856,Asia
120,Montenegro,589324,633324,631044,627859,627082,621696,586385,Europe
121,Morocco,19678444,28554415,32464865,37076584,37457971,40226395,45044990,Africa
122,Mozambique,11413587,17768505,23073723,32077072,32969518,40920707,63044497,Africa
123,Myanmar,33465781,45538332,49390988,53798084,54179306,56987625,59929399,Asia
124,Namibia,975994,1819141,2099271,2530151,2567012,2910056,3779918,Africa
125,Nauru,7635,10377,10241,12511,12668,13358,14695,Oceania
126,Nepal,15600442,24559500,27161567,30034989,30547580,33133395,37401365,Asia
127,Netherlands,14130387,15899135,16617117,17501696,17564014,17943803,17897025,Europe
128,New Zealand,3147168,3855266,4346338,5129727,5185288,5495670,5949002,Oceania
129,Nicaragua,3303309,5123222,5855734,6850540,6948392,7688686,9094641,Americas
130,Niger,6173177,11622665,16647543,25252722,26207977,35217942,67043296,Africa
131,Nigeria,72951439,122851984,160952853,213401323,218541212,262580426,377459883,Africa
134,Norway,4085776,4491202,4889741,5403021,5434319,5748397,6367559,Europe
135,Oman,1017462,2344253,2881914,4520471,4576298,5093376,6328978,Asia
136,Pakistan,80624057,154369924,194454498,231402117,235824862,274029836,367808468,Asia
137,Palau,12252,19726,18540,18024,18055,17919,16689,Oceania
138,Palestine,1453620,3139954,3992278,5133392,5250072,6256949,8861747,Asia
139,Panama,1956987,3001731,3623617,4351267,4408581,4864126,5736121,Americas
140,Papua New Guinea,3104788,5508297,7583269,9949437,10142619,11615322,14910369,Oceania
141,Paraguay,3078912,5123819,5768613,6703799,6780744,7425448,8591486,Americas
142,Peru,17492406,26654439,29229572,33715471,34049588,36702393,42022554,Americas
143,Philippines,48419546,77958223,94636700,113880328,115559009,129453321,157891622,Asia
144,Poland,35521429,38504431,38597353,38307726,39857145,38700518,34932339,Europe
145,Portugal,9785252,10300626,10588401,10290103,10270865,10062183,9261305,Europe
146,Puerto Rico,3214568,3827108,3717922,3256028,3252407,3259722,2727624,Americas
147,Qatar,277450,645937,1713504,2688235,2695122,2855291,3358454,Asia
149,Reunion,551674,785424,890130,966129,974052,1031822,1127252,Africa
150,Romania,22125224,21919876,20335211,19328560,19659267,19023383,17457213,Europe
151,Russia,138257420,146844839,143242599,145102755,144713314,141432741,133133035,Europe
152,Rwanda,5247532,8109989,10309031,13461888,13776698,16375704,23030046,Africa
153,Saint Kitts and Nevis,43097,45461,47403,47606,47657,48247,46882,Americas
154,Saint Lucia,121633,159500,170935,179651,179857,183274,177856,Americas
155,Saint Vincent and the Grenadines,107480,113813,109308,104332,103948,104322,101691,Americas
156,Samoa,164905,184008,194672,218764,222382,248627,320016,Oceania
157,San Marino,21346,26823,31608,33745,33660,33458,32044,Europe
158,Sao Tome and Principe,97210,143714,182138,223107,227380,265036,366663,Africa
159,Saudi Arabia,10171710,21547390,29411929,35950396,36408820,40461368,48374543,Asia
160,Senegal,5703869,9704287,12530121,16876720,17316449,21125872,32562869,Africa
161,Serbia,7777010,7935022,7653748,7296769,7221365,6832604,5777806,Europe
162,Seychelles,65290,80060,92409,106471,107118,111317,116644,Africa
163,Sierra Leone,3367477,4584067,6436698,8420641,8605718,10105188,13595023,Africa
164,Singapore,2400729,4053602,5163590,5941060,5975689,6251988,6337235,Asia
165,Slovakia,4973883,5376690,5396424,5447622,5643453,5555114,5186967,Europe
166,Slovenia,1901570,1984339,2057287,2119410,2119844,2105945,2003258,Europe
167,Solomon Islands,233668,429978,540394,707851,724273,856264,1225407,Oceania
168,Somalia,5892224,8721465,12026649,17065581,17597511,22316857,36462830,Africa
169,South Africa,29463549,46813266,51784921,59392255,59893885,64659278,73529753,Africa
171,South Sudan,4192012,6114440,9714419,10748272,10913164,12570402,17460846,Africa
172,Spain,37491666,40741651,46572772,47486935,47558630,47076573,44219565,Europe
173,Sri Lanka,14943645,18776371,20668557,21773441,21832143,22186970,21814985,Asia
174,Sudan,16673586,26298773,33739933,45657202,46874204,56997099,84494269,Africa
175,Suriname,375112,478998,546080,612985,618040,659508,725519,Americas
176,Sweden,8311763,8871043,9381729,10467097,10549347,11007228,11902033,Europe
177,Switzerland,6319113,7182059,7822435,8691406,8740472,9143698,9753753,Europe
178,Syria,8898954,16307654,22337563,21324367,22125249,29824735,38306374,Asia
