"","X","country","continent","year","population"
"143",577,"United Kingdom","Europe",2019,62760039
"144",448,"France","Europe",2019,62444567
"145",1173,"Algeria","Africa",2023,60001113
"146",1290,"Myanmar","Asia",2023,59929399
"147",943,"South Africa","Africa",2021,59893885
"148",473,"Italy","Europe",2019,59822450
"149",748,"South Africa","Africa",2020,59392255
"150",668,"Italy","Europe",2020,59240329
"151",863,"Italy","Europe",2021,59037474
"152",382,"United Kingdom","Europe",2018,58850043
"153",253,"France","Europe",2018,58665453
"154",1159,"Uganda","Africa",2022,58380262
"155",1058,"Italy","Europe",2022,57544258
"156",1142,"Sudan","Africa",2022,56997099
"157",1207,"Colombia","Americas",2023,56987651
"158",1095,"Myanmar","Asia",2022,56987625
"159",278,"Italy","Europe",2018,56966397
"160",83,"Italy","Europe",2017,56329482
"161",187,"United Kingdom","Europe",2017,56326328
"162",1363,"Yemen","Asia",2023,55296331
"163",900,"Myanmar","Asia",2021,54179306
"164",1012,"Colombia","Americas",2022,54129764
"165",868,"Kenya","Africa",2021,54027487
"166",705,"Myanmar","Asia",2020,53798084
"167",58,"France","Europe",2017,53713830
"168",673,"Kenya","Africa",2020,53005614
"169",1055,"Iraq","Asia",2022,52800825
"170",1253,"Italy","Europe",2023,52250484
"171",1234,"Ghana","Africa",2023,52231785
"172",817,"Colombia","Americas",2021,51874024
"173",553,"South Africa","Africa",2019,51784921
"174",1177,"Argentina","Americas",2023,51621175
"175",1271,"Madagascar","Africa",2023,51592965
"176",622,"Colombia","Americas",2020,51516562
"177",1200,"Cameroon","Africa",2023,51279560
"178",976,"Afghanistan","Asia",2022,50330837
"179",185,"Ukraine","Europe",2017,49973920
"180",978,"Algeria","Africa",2022,49787283
"181",510,"Myanmar","Asia",2019,49390988
"182",380,"Ukraine","Europe",2018,48879755
"183",243,"DR Congo","Africa",2018,48616317
"184",138,"Philippines","Asia",2017,48419546
"185",1323,"Saudi Arabia","Asia",2023,48374543
"186",982,"Argentina","Americas",2022,47678560
"187",945,"Spain","Europe",2021,47558630
"188",750,"Spain","Europe",2020,47486935
"189",1275,"Mali","Africa",2023,47439802
"190",964,"Uganda","Africa",2021,47249585
"191",1140,"Spain","Europe",2022,47076573
"192",947,"Sudan","Africa",2021,46874204
"193",358,"South Africa","Africa",2018,46813266
"194",555,"Spain","Europe",2019,46572772
"195",1201,"Canada","Americas",2023,45890819
"196",769,"Uganda","Africa",2020,45853778
"197",175,"Thailand","Asia",2017,45737753
"198",575,"Ukraine","Europe",2019,45683020
"199",752,"Sudan","Africa",2020,45657202
"200",1360,"Uzbekistan","Asia",2023,45593149
"201",315,"Myanmar","Asia",2018,45538332
"202",787,"Argentina","Americas",2021,45510318
"203",592,"Argentina","Americas",2020,45276780
"204",564,"Tanzania","Africa",2019,45110527
"205",1288,"Morocco","Africa",2023,45044990
"206",980,"Angola","Africa",2022,44911664
"207",783,"Algeria","Africa",2021,44903225
"208",427,"Colombia","Americas",2019,44816108
"209",860,"Iraq","Asia",2021,44496122
"210",1335,"Spain","Europe",2023,44219565
"211",588,"Algeria","Africa",2020,44177969
"212",181,"Turkey","Asia",2017,44089069
"213",50,"Egypt","Africa",2017,43748556
"214",665,"Iraq","Asia",2020,43533592
"215",770,"Ukraine","Europe",2020,43531422
"216",1307,"Peru","Americas",2023,42022554
"217",478,"Kenya","Africa",2019,41517895
"218",781,"Afghanistan","Asia",2021,41128771
"219",397,"Argentina","Americas",2019,41100123
"220",1273,"Malaysia","Asia",2023,41032433
"221",1006,"Canada","Americas",2022,41008596
"222",1094,"Mozambique","Africa",2022,40920707
"223",360,"Spain","Europe",2018,40741651
"224",1197,"Burkina Faso","Africa",2023,40541548
"225",1128,"Saudi Arabia","Asia",2022,40461368
"226",1093,"Morocco","Africa",2022,40226395
"227",586,"Afghanistan","Asia",2020,40099462
"228",1168,"Yemen","Asia",2022,39923245
"229",919,"Poland","Europe",2021,39857145
"230",965,"Ukraine","Europe",2021,39701739
"231",232,"Colombia","Americas",2018,39215135
"232",1039,"Ghana","Africa",2022,38775850
"233",1114,"Poland","Europe",2022,38700518
"234",529,"Poland","Europe",2019,38597353
"235",334,"Poland","Europe",2018,38504431
"236",811,"Canada","Americas",2021,38454327
"237",1165,"Uzbekistan","Asia",2022,38313228
"238",724,"Poland","Europe",2020,38307726
"239",1341,"Syria","Asia",2023,38306374
"240",1160,"Ukraine","Europe",2022,38295429
"241",616,"Canada","Americas",2020,38155012
"242",165,"Spain","Europe",2017,37491666
"243",1364,"Zambia","Africa",2023,37460435
"244",898,"Morocco","Africa",2021,37457971
"245",1293,"Nepal","Asia",2023,37401365
"246",1272,"Malawi","Africa",2023,37159300
"247",703,"Morocco","Africa",2020,37076584
"248",202,"Argentina","Americas",2018,37070774
"249",1112,"Peru","Americas",2022,36702393
"250",1078,"Malaysia","Asia",2022,36687569
"251",1332,"Somalia","Africa",2023,36462830
"252",1204,"Chad","Africa",2023,36452035
"253",933,"Saudi Arabia","Asia",2021,36408820
"254",738,"Saudi Arabia","Asia",2020,35950396
"255",1361,"Venezuela","Americas",2023,35937404
"256",393,"Algeria","Africa",2019,35856344
"257",1076,"Madagascar","Africa",2022,35604443
"258",785,"Angola","Africa",2021,35588987
"259",139,"Poland","Europe",2017,35521429
"260",1102,"Niger","Africa",2022,35217942
"261",55,"Ethiopia","Africa",2017,34945469
"262",1309,"Poland","Europe",2023,34932339
"263",970,"Uzbekistan","Asia",2021,34627652
"264",590,"Angola","Africa",2020,34503774
"265",369,"Tanzania","Africa",2018,34463704
"266",775,"Uzbekistan","Asia",2020,34081449
"267",1005,"Cameroon","Africa",2022,34051103
"268",917,"Peru","Americas",2021,34049588
"269",421,"Canada","Americas",2019,33963412
"270",883,"Malaysia","Asia",2021,33938221
"271",557,"Sudan","Africa",2019,33739933
"272",722,"Peru","Americas",2020,33715471
"273",973,"Yemen","Asia",2021,33696614
"274",688,"Malaysia","Asia",2020,33573874
"275",844,"Ghana","Africa",2021,33475870
"276",120,"Myanmar","Asia",2017,33465781
"277",1098,"Nepal","Asia",2022,33133395
"278",778,"Yemen","Asia",2020,32981641
